Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Yds,TD,Int,Y/G,AV
2001,22,SDG,,9,1,0,,15,27,221,1,0,221.0,1
2002,23,SDG,QB,9,16,16,8-8-0,320,526,3284,17,16,205.3,10
2003,24,SDG,QB,9,11,11,2-9-0,205,356,2108,11,15,191.6,6
2004,25,SDG,QB,9,15,15,11-4-0,262,400,3159,27,7,210.6,17
2005,26,SDG,QB,9,16,16,9-7-0,323,500,3576,24,15,223.5,15
2006,27,NOR,QB,9,16,16,10-6-0,356,554,4418,26,11,276.1,15
2007,28,NOR,QB,9,16,16,7-9-0,440,652,4423,28,18,276.4,14
2008,29,NOR,QB,9,16,16,8-8-0,413,635,5069,34,17,316.8,17
2009,30,NOR,QB,9,15,15,13-2-0,363,514,4388,34,11,292.5,16
2010,31,NOR,QB,9,16,16,11-5-0,448,658,4620,33,22,288.8,14
2011,32,NOR,QB,9,16,16,13-3-0,468,657,5476,46,14,342.3,20
2012,33,NOR,QB,9,16,16,7-9-0,422,670,5177,43,19,323.6,15
2013,34,NOR,QB,9,16,16,11-5-0,446,650,5162,39,12,322.6,17
2014,35,NOR,QB,9,16,16,7-9-0,456,659,4952,33,17,309.5,16
2015,36,NOR,QB,9,15,15,7-8-0,428,627,4870,32,11,324.7,14
2016,37,NOR,QB,9,16,16,7-9-0,471,673,5208,37,15,325.5,16
2017,38,NOR,QB,9,16,16,11-5-0,386,536,4334,23,8,270.9,16
2018,39,NOR,QB,9,15,15,13-2-0,364,489,3992,32,5,266.1,17
2019,40,NOR,QB,9,7,7,5-2-0,177,240,1791,12,4,255.9,
